Timestamp,Name:,Roll Number:,Department,What is your sleeping pattern?,What is your study habit preference?,What kind of sleeping environment do you prefer?,What is your food preference?,Are you comfortable sharing a room with someone with a different food habit?,Do you consider yourself more of an:,Do you have any health conditions or allergies your roommate should know? (If no enter 'Nil'),How open are you to adjusting if you don’t get roomate of similar choice?
10/10/2025 17:41:00,Sathish K,24AIM744,AIML,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Diabetes,Not flexible
10/17/2025 15:09:00,Kamalakannan,24BIO348,Biotechnology,After 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/07/2025 07:38:00,Mohan Das,24MEC164,Mechanical,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/12/2025 22:30:00,Mohanraj K,24EIE803,EIE,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/19/2025 10:07:00,Vasanth Kumar,24MEC832,Mechatronics,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Introvert,None,Very flexible
10/18/2025 09:30:00,Balamurugan,24BIO170,Biotechnology,Before 10 PM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/10/2025 03:39:00,Logesh Kumar,24PHY608,Physics,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,No,Ambivert,Nil,Somewhat flexible
10/02/2025 15:28:00,Sathish Kumar,24EEE234,EEE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Extrovert,No,Very flexible
10/04/2025 15:06:00,Sathish Kumar,24PHY465,Physics,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Asthma,Very flexible
10/10/2025 10:19:00,Sanjay Kumar,24ECE956,ECE,Before 10 PM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,No,Extrovert,Dust allergy,Not flexible
10/13/2025 16:54:00,Saravanan M,24CHE472,Chemistry,After 12 AM,I prefer studying in silence,Okay with some noise,Vegan,Yes,Ambivert,No,Somewhat flexible
10/01/2025 08:05:00,Saravanan M,24CSE289,CSE,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,No,Very flexible
10/17/2025 10:33:00,Tharun Raj,24ECE301,ECE,Before 10 PM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Vegetarian,Yes,Ambivert,Nil,Very flexible
10/09/2025 04:24:00,Ragul Deep,24CSE290,CSE,Before 10 PM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/12/2025 14:17:00,Nithesh,24IT958,IT,After 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Extrovert,Nil,Somewhat flexible
10/15/2025 22:37:00,Sanjay Kumar,24PHY463,Physics,After 12 AM,I’m okay with mild background noise/music,Complete silence,Vegetarian,No,Extrovert,No,Somewhat flexible
10/22/2025 03:32:00,Vijay Kumar,24CHE829,Chemistry,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Introvert,Dust allergy,Very flexible
10/21/2025 21:28:00,Bala Subramani,24AIM954,AIML,Before 10 PM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/20/2025 05:47:00,Ragul Raj,24IT597,IT,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Asthma,Somewhat flexible
10/05/2025 15:54:00,Prasanna Kumar,24AIM371,AIML,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,No,Introvert,None,Very flexible
10/06/2025 11:45:00,Ravi M,24PHY167,Physics,After 12 AM,I’m okay with mild background noise/music,Okay with some noise,Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/18/2025 14:58:00,Nandhakumar,24EEE805,EEE,10 PM – 12 AM,I prefer group study,"Complete silence, Complete darkness",Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/09/2025 09:39:00,Tharun Raj,24ECE465,ECE,Before 10 PM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,Asthma,Somewhat flexible
10/09/2025 01:04:00,Aravind Raj,24MEC903,Mechatronics,After 12 AM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Introvert,None,Very flexible
10/07/2025 10:12:00,Kumaravel S,24BIO318,Biotechnology,After 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/04/2025 18:29:00,Aravind Raj,24EIE185,EIE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Extrovert,No,Very flexible
10/07/2025 07:33:00,Mohan Das,24BIO400,Biotechnology,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,None,Somewhat flexible
10/01/2025 19:52:00,Ashok Kumar,24MEC431,Mechanical,After 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/11/2025 15:45:00,Naveen Raj,24EIE380,EIE,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,No preference,Yes,Ambivert,Asthma,Somewhat flexible
10/04/2025 04:44:00,Aravind K,24MEC136,Mechatronics,Before 10 PM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,No,Very flexible
10/11/2025 18:50:00,Ashok Kumar,24MEC364,Mechanical,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/22/2025 03:55:00,Ragul S,24ECE300,ECE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/19/2025 01:57:00,Ramesh V,24EEE145,EEE,Before 10 PM,I prefer studying in silence,Complete silence,Non-Vegetarian,No,Introvert,NIL,Very flexible
10/02/2025 05:39:00,Manikandan S,24EEE267,EEE,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,No,Introvert,Asthma,Somewhat flexible
10/16/2025 03:55:00,Ashok Kumar,24EIE596,EIE,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,NIL,Very flexible
10/19/2025 14:18:00,Ravi M,24PHY894,Physics,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Vegetarian,Yes,Introvert,Nil,Somewhat flexible
10/11/2025 13:24:00,Sivaranjan,24CHE617,Chemistry,After 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,None,Very flexible
